"음식이름","음식설명"
"기장밥","기장을 섞어 지은 밥으로, 고소한 맛과 영양이 풍부합니다."
"곤드레밥","곤드레 나물을 넣어 지은 밥으로, 특유의 향과 부드러운 식감이 특징입니다."
"대통밥","대나무 통에 쌀과 다양한 재료를 넣어 쪄낸 밥으로, 대나무 향이 배어 있습니다."
"두부밥","두부를 잘게 부수어 밥과 함께 섞어 먹는 음식으로, 담백하고 부드러운 맛이 납니다."
"보리밥","보리를 섞어 지은 밥으로, 식이섬유가 풍부하고 소화에 도움이 됩니다."
"비빔밥","다양한 나물과 고기, 계란 등을 밥 위에 올려 고추장과 함께 비벼 먹는 대표적인 한식 요리입니다."
"볶음밥","밥을 각종 재료와 함께 볶아낸 요리로, 다양한 변주가 가능합니다."
"백반","밥과 함께 여러 가지 반찬이 제공되는 한식 정식입니다."
"쌀밥","흰 쌀로 지은 기본적인 밥입니다."
"덮밥","밥 위에 다양한 재료를 올려 먹는 요리로, 종류가 다양합니다."
"약밥","찹쌀에 밤, 대추, 잣 등을 넣고 간장과 꿀로 양념하여 찐 달콤한 음식입니다."
"영양밥","찹쌀에 밤, 대추, 은행, 잣 등을 넣어 지은 밥으로, 영양가가 높습니다."
"오곡밥","다섯 가지 곡물을 섞어 지은 밥으로, 정월대보름에 주로 먹습니다."
"율무밥","율무를 넣어 지은 밥으로, 고소한 맛과 건강에 좋은 효능이 있습니다."
"무감자밥","무와 감자를 넣어 지은 밥으로, 담백하고 부드러운 맛이 특징입니다."
"밥버거","밥을 빵 대신 사용하여 속재료를 넣어 만든 한국식 버거입니다."
"닭죽","닭고기와 쌀을 함께 끓여 만든 죽으로, 영양가가 높고 소화에 좋습니다."
"방풍죽","방풍나물을 넣어 만든 죽으로, 독특한 향과 맛이 있습니다."
"상이죽","상이(산약)를 넣어 만든 죽으로, 건강에 좋은 효능이 있습니다."
"잣죽","잣을 갈아 넣어 만든 죽으로, 고소하고 부드러운 맛이 특징입니다."
"전복죽","전복을 넣어 만든 죽으로, 영양가가 높고 풍미가 좋습니다."
"청모죽","청모(청각)를 넣어 만든 죽으로, 독특한 식감과 맛이 있습니다."
"타락죽","우유를 넣어 만든 죽으로, 부드럽고 고소한 맛이 특징입니다."
"팥죽","팥을 넣어 만든 죽으로, 달콤하고 부드러운 맛이 있습니다."
"호박죽","호박을 넣어 만든 죽으로, 달콤하고 부드러운 맛이 특징입니다."
"조청","찹쌀이나 멥쌀을 엿기름으로 삭혀 만든 전통적인 단맛의 시럽입니다."
"무술당","무를 넣어 만든 전통적인 단맛의 음식입니다."
"흑두당","검은콩을 넣어 만든 전통적인 단맛의 음식입니다."
"닭국수","닭고기 육수에 국수를 넣어 만든 국수 요리입니다."
"고기국수","고기 육수에 국수를 넣어 만든 요리로, 제주도의 향토 음식입니다."
"김치말이국수","차가운 김치 국물에 국수를 말아 먹는 여름철 별미입니다."
"막국수","메밀로 만든 국수에 다양한 재료와 양념을 넣어 비벼 먹는 강원도의 향토 음식입니다."
"메밀국수","메밀로 만든 국수로, 주로 차갑게 먹으며 담백한 맛이 특징입니다."
"모리국수","다양한 해산물을 넣어 끓인 국수 요리로, 제주도의 향토 음식입니다."
"비빔국수","삶은 국수에 고추장 양념과 채소를 넣어 비벼 먹는 매콤한 요리입니다."
